platform,day,best_times,engagement_level,notes
twitter,weekday,"8-10am,12pm,6-9pm",high,"Early morning and lunch peaks"
twitter,weekend,"9-11am",medium,"Reduced but consistent"
linkedin,weekday,"8-10am,12pm",high,"Tuesday-Thursday best"
linkedin,weekend,"10am",low,"Minimal B2B activity"
facebook,weekday,"1-4pm",high,"Afternoon engagement"
facebook,weekend,"12-1pm",medium,"Lunch browsing"
instagram,weekday,"11am-1pm,7-9pm",high,"Lunch and evening"
instagram,weekend,"10am-12pm",high,"Morning leisure"
tiktok,weekday,"7-9am,12-3pm,7-11pm",high,"Multiple peaks"
tiktok,weekend,"9am-12pm,7-11pm",high,"Extended evening"
youtube,weekday,"2-4pm",high,"Post for evening views"
youtube,weekend,"9-11am",high,"Morning watching"
pinterest,weekday,"8-11pm",high,"Evening planning"
pinterest,weekend,"2-4pm",high,"Afternoon browsing"
threads,weekday,"8-10am,7-9pm",medium,"Morning and evening"
threads,weekend,"10am-12pm",medium,"Late morning"
