archetype,desire,goal,strategy,fear,weakness,voice_traits,colors,typography,imagery,example_brands
Innocent,Safety,Be happy,Be pure and honest,Doing wrong,Boring,"Optimistic, honest, simple, sincere","Pastels, white, light blue, soft yellow",Clean sans-serif,"Natural, wholesome, light, joyful","Dove, Coca-Cola, Nintendo, Whole Foods"
Sage,Truth,Understand the world,Seek knowledge and wisdom,Being duped or ignorant,Can be overly cautious,"Wise, analytical, informative, thoughtful","Navy, gray, gold, deep green",Traditional serif,"Educational, scholarly, data-driven","Google, BBC, Harvard, TED"
Explorer,Freedom,Experience a fulfilling life,Journey and seek new experiences,Getting trapped or conforming,Aimless wandering,"Adventurous, independent, bold, pioneering","Earth tones, green, blue, orange",Bold display fonts,"Outdoor, expansive, travel, nature","Jeep, The North Face, Patagonia, REI"
Ruler,Control,Create prosperity and success,Lead with excellence,Chaos or being overthrown,Being authoritarian,"Commanding, refined, articulate, confident","Black, gold, purple, navy, silver",Elegant serif,"Luxurious, refined, powerful, prestigious","Mercedes-Benz, Rolex, American Express, Microsoft"
Creator,Innovation,Create something of enduring value,Develop vision and skills,Mediocrity,Perfectionism paralysis,"Imaginative, expressive, visionary, artistic","Vibrant colors, unexpected combinations",Unique creative fonts,"Artistic, innovative, original, inspiring","Apple, Lego, Adobe, Crayola"
Caregiver,Service,Help and protect others,Do things for others,Selfishness,Martyrdom or exploitation,"Warm, reassuring, generous, nurturing","Warm colors, soft tones, earth tones",Friendly rounded fonts,"People, nurturing, community, helping","Johnson & Johnson, TOMS, Campbell's, Volvo"
Magician,Power,Make dreams come true,Develop vision and live it,Unintended negative consequences,Becoming manipulative,"Mystical, informed, inspiring, transformative","Purple, deep blue, silver, black",Distinctive unique fonts,"Transformative, ethereal, magical, visionary","Disney, Tesla, Dyson, Polaroid"
Hero,Mastery,Prove worth through courage,Be strong and competent,Weakness or vulnerability,Arrogance,needing villain,"Confident, bold, honorable, determined","Red, blue, black, strong contrasts",Strong bold fonts,"Action, achievement, strength, triumph","Nike, FedEx, BMW, US Army"
Rebel,Liberation,Overturn what isn't working,Disrupt and shock,Being powerless,Crossing to dark side,"Rebellious, provocative, brave, disruptive","Black, red, stark contrasts, dark",Edgy unconventional fonts,"Provocative, raw, counter-culture","Harley-Davidson, Virgin, Diesel, MTV"
Lover,Intimacy,Be in relationship with people and experiences,Become attractive,Being alone or unwanted,Losing identity in relationship,"Passionate, sensual, empathetic, indulgent","Red, pink, warm tones, gold",Elegant flowing fonts,"Intimate, beautiful, sensual, romantic","Victoria's Secret, Chanel, Godiva, Alfa Romeo"
Jester,Enjoyment,Have a great time,Play and be funny,Being boring,Frivolity or disrespect,"Fun, irreverent, playful, humorous","Bright colors, orange, yellow, multi-color",Playful quirky fonts,"Humorous, entertaining, whimsical","M&Ms, Old Spice, Geico, Ben & Jerry's"
Regular Guy,Belonging,Connect with others,Be down to earth,Standing out or seeming phony,Losing self in crowd,"Friendly, humble, authentic, relatable","Down-to-earth colors, natural, muted",Simple readable fonts,"Everyday people, relatable, authentic","IKEA, Target, Ford, Budweiser"
