keyword,severity,category,action
lawsuit,critical,legal,"Immediate escalation to Shield + Legal"
sued,critical,legal,"Immediate escalation to Shield + Legal"
boycott,critical,reputation,"Immediate escalation to Shield"
scandal,critical,reputation,"Immediate escalation to Shield"
fraud,critical,legal,"Immediate escalation to Shield + Legal"
scam,high,reputation,"Alert team + Shield monitoring"
terrible,high,sentiment,"Monitor for volume spike"
worst,high,sentiment,"Monitor for volume spike"
hate,high,sentiment,"Monitor for volume spike"
never again,high,sentiment,"Monitor for context"
disappointed,medium,sentiment,"Track sentiment trend"
frustrated,medium,sentiment,"Track sentiment trend"
broken,medium,product,"Track for patterns"
doesn't work,medium,product,"Track for patterns"
refund,medium,service,"Monitor volume"
cancel,medium,service,"Monitor volume"
