category,assumption_type,description,test_method
desirability,problem_exists,"Customers actually have this problem","Customer interviews, survey"
desirability,problem_priority,"Problem is important enough to solve","Ranking exercise, willingness to pay"
desirability,solution_fits,"Our solution addresses the problem","Prototype testing, demo feedback"
desirability,ux_acceptable,"Users can figure out how to use it","Usability testing"
feasibility,tech_possible,"We can build this with available tech","Technical spike, prototype"
feasibility,team_capable,"Our team has the skills needed","Skills assessment, hiring plan"
feasibility,timeline_realistic,"We can build it in reasonable time","Sprint estimates"
feasibility,cost_manageable,"Development costs are within budget","Detailed estimation"
viability,willingness_to_pay,"Customers will pay our target price","Price testing"
viability,cac_sustainable,"We can acquire customers profitably","Channel experiments"
viability,ltv_sufficient,"Customer lifetime value exceeds CAC","Retention modeling"
viability,market_large_enough,"Enough customers exist","Market sizing analysis"
adaptability,pivot_options,"We have room to pivot if needed","Strategy mapping"
adaptability,team_flexible,"Team can adapt to changing requirements","Culture assessment"
adaptability,runway_sufficient,"We have time to iterate and learn","Financial modeling"
